City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Pono Kai Resort
12,Rikitea,PF,76.55,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
16,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti International Resort
22,Chuy,UY,70.88,overcast clouds,-33.6971,-53.4616,Alerces
23,Cape Town,ZA,73.38,clear sky,-33.9258,18.4232,Townhouse Hotel
26,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Hotel SkylineInn
27,Cockburn Town,TC,78.89,clear sky,21.4612,-71.1419,The Salt Raker Inn
38,Tangerang,ID,82.53,few clouds,-6.1781,106.63,Hotel Tangerang
39,Port Elizabeth,ZA,70.32,moderate rain,-33.918,25.5701,Waterford Hotel
41,Atuona,PF,77.29,few clouds,-9.8,-139.0333,Pearl Resort
43,Koumac,NC,82.51,clear sky,-20.5667,164.2833,Monitel Koumac
44,Charlestown,AU,72.01,clear sky,-32.95,151.6667,Warners Bay Hotel
58,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
60,Sorong,ID,81.09,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
63,Coffs Harbour,AU,75.16,few clouds,-30.3,153.1333,The Coast Hotel
65,Salalah,OM,78.89,clear sky,17.0151,54.0924,Muscat International Hotel
68,Lorengau,PG,81.59,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
72,Dakar,SN,77.88,clear sky,14.6937,-17.4441,翁记小吃
75,Sao Filipe,CV,77.63,few clouds,14.8961,-24.4956,Bela Vista
85,Castro,BR,70.14,broken clouds,-24.7911,-50.0119,Hotel Central Palace
87,Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
93,Vila Velha,BR,71.94,broken clouds,-20.3297,-40.2925,Hotel Prainha
97,Ciudad Bolivar,VE,83.73,overcast clouds,8.1222,-63.5497,Paoca
103,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
107,Conceicao Da Barra,BR,76.44,broken clouds,-18.5933,-39.7322,Porto Marlin Hotel
120,Mar Del Plata,AR,77.83,light rain,-38.0023,-57.5575,Nuevo Ostende
127,Faanui,PF,76.93,light rain,-16.4833,-151.75,Oa Oa Lodge
130,Omboue,GA,78.08,light rain,-1.5746,9.2618,Georges Faustin Aurat
135,Sechura,PE,74.57,scattered clouds,-5.5569,-80.8222,Hospedaje Claritza
141,Bengkulu,ID,74.95,light rain,-3.8004,102.2655,Dena Hotel
146,Alice Springs,AU,88.21,broken clouds,-23.7,133.8833,Aurora Alice Springs
156,Inirida,CO,76.77,broken clouds,3.8653,-67.9239,Residencias El Turista del Guainia
158,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
159,Ponta Do Sol,PT,74.71,moderate rain,32.6667,-17.1,Estalagem Ponta do Sol
169,Tabuk,PH,71.53,overcast clouds,17.4189,121.4443,Davidson Hotel
179,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Central Hôtel
180,Loandjili,CG,77.52,moderate rain,-4.7561,11.8578,Le Raphia Guest House
183,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,The Adventures Inn
184,Mayumba,GA,77.45,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
185,Alta Floresta,BR,75.04,overcast clouds,-9.8756,-56.0861,Villas Hotel
195,Mackay,AU,83.68,scattered clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
197,Kavieng,PG,81.81,moderate rain,-2.5744,150.7967,Kavieng Hotel
202,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Horisun
205,Praia,CV,75.74,few clouds,14.9215,-23.5087,Casa Sodadi
213,Beira,MZ,77.09,clear sky,-19.8436,34.8389,Hotel Savoy
214,Atambua,ID,73.81,broken clouds,-9.1061,124.8925,Hotel Matahari
215,Puerto Madryn,AR,77.32,scattered clouds,-42.7692,-65.0385,Hotel Gran Palace
220,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
221,Hilo,US,79.11,light rain,19.7297,-155.09,Dolphin Bay Hotel
222,Bafia,CM,71.01,clear sky,4.75,11.2333,Hôtel Born Biyem
226,Ternate,ID,80.51,overcast clouds,0.8,127.4,Boulivard ternate
232,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Page 63 hostel
234,Meulaboh,ID,75.65,light rain,4.1363,96.1285,Hotel Meuligou
235,Quang Ngai,VN,70.41,overcast clouds,15.1167,108.8,Ngoc Anh
238,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Cape Garden
241,Honiara,SB,81.82,moderate rain,-9.4333,159.95,King Solomon Hotel
243,Fayaoue,NC,80.1,overcast clouds,-20.65,166.5333,Hôtel Beaupré
244,Carmen,MX,82.44,scattered clouds,18.6333,-91.8333,Holiday Inn Express
245,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Hotel California
246,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,Hotel valencia
247,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
248,Bac Lieu,VN,76.55,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
250,Guarapari,BR,71.89,few clouds,-20.6667,-40.4975,Osmar Hotel
252,Humaita,BR,80.94,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
256,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
257,Karratha,AU,85.44,few clouds,-20.7377,116.8463,Karratha International Hotel
259,Camocim,BR,80.35,clear sky,-2.9022,-40.8411,Hotel Dunas
260,Bontang,ID,75.6,scattered clouds,0.1333,117.5,Hotel Sederhana
267,Rawson,AR,74.35,scattered clouds,-43.3002,-65.1023,Hotel Deportivo
273,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Le Baril
283,Townsville,AU,85.08,scattered clouds,-19.25,146.8,Aquarius on the Beach
286,Koutiala,ML,76.71,scattered clouds,12.3917,-5.4642,La Chaumière
287,Pangai,TO,80.76,overcast clouds,-19.8,-174.35,Billy's Place
289,Barranquilla,CO,80.38,clear sky,10.9639,-74.7964,Hotel 56 Avenue
296,Hithadhoo,MV,81.3,overcast clouds,-0.6,73.0833,Pebbles Inn
298,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Tropic Hotel
302,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
306,Necochea,AR,75.31,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
308,Daru,PG,79.57,overcast clouds,-9.0763,143.2092,Kuki
315,Itarema,BR,79.45,clear sky,-2.9248,-39.9167,Pousada Oásis
316,Port Blair,IN,78.69,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
318,Namibe,AO,70.79,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
322,Cidreira,BR,74.05,overcast clouds,-30.1811,-50.2056,Hotel Castelo
333,Lamu,KE,80.82,light rain,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
334,Kapoeta,SS,80.49,broken clouds,4.7717,33.5903,Kuleu
335,Impfondo,CG,73.81,few clouds,1.6381,18.0667,Tropicana
341,Sinnamary,GF,77.86,broken clouds,5.3833,-52.95,Hôtel du fleuve
348,La Asuncion,VE,80.33,few clouds,11.0333,-63.8628,Hotel La Ciudad
350,Jacqueville,CI,80.83,scattered clouds,5.2052,-4.4146,Complexe hôtelier Grand Roi
354,Takoradi,GH,79.93,light rain,4.8845,-1.7554,Hillcrest
358,Isangel,VU,84.31,overcast clouds,-19.55,169.2667,Tanna Lodge
361,Beruwala,LK,77.59,moderate rain,6.4788,79.9828,Villa@113
367,Cabo San Lucas,MX,81.7,clear sky,22.8909,-109.9124,Comfort Rooms
369,Moroni,KM,79.05,broken clouds,-11.7022,43.2551,Ville de Moroni
384,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Mediterrâneo
387,Rio Grande,BR,78.91,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
388,Diamantino,BR,76.37,overcast clouds,-14.4086,-56.4461,Hotel kayaby
390,Mercedes,AR,87.04,clear sky,-34.6515,-59.4307,Gran Hotel Mercedes
393,Caravelas,BR,77.16,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
396,Sur,OM,73.83,light rain,22.5667,59.5289,Sur Hotel
403,Allada,BJ,81.36,broken clouds,6.6655,2.1514,germe
409,Kudat,MY,78.73,scattered clouds,6.8837,116.8477,Hotel Ria
411,Angol,CL,71.15,clear sky,-37.8,-72.7167,Club Social
416,Inhambane,MZ,75.85,clear sky,-23.865,35.3833,Hotel de Inhambane
418,Vao,NC,78.3,overcast clouds,-22.6667,167.4833,Nataiwatch
420,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Tara-Mé
425,Ghanzi,BW,73.67,scattered clouds,-21.5667,21.7833,Ghanzi farmhouse
429,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Terra Sur
438,Diego De Almagro,CL,71.31,broken clouds,-26.3667,-70.05,Residencial Hambyll
440,Mabaruma,GY,73.02,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
443,Santo Tomas,PH,77.25,moderate rain,14.1079,121.1414,NDN Grand Hotel
447,Catamarca,AR,80.78,broken clouds,-28.4696,-65.7852,Hotel de Turismo
453,Formosa,AR,82.38,overcast clouds,-26.1775,-58.1781,Hotel Hostal del Rey
454,Itaituba,BR,80.64,overcast clouds,-4.2761,-55.9836,TG Hotel
458,Ambilobe,MG,73.4,clear sky,-13.2,49.05,Hôtel National
461,Male,MV,82.35,broken clouds,4.1748,73.5089,Champa Central Hotel
469,Tarauaca,BR,79.65,overcast clouds,-8.1614,-70.7656,Hotel Estrela
471,Koungheul,SN,82.22,clear sky,13.9833,-14.8,Auberge Keur Ghan
474,San Antonio,US,78.67,overcast clouds,29.4241,-98.4936,Riverwalk Plaza Hotel and Suites
475,Bull Savanna,JM,74.1,clear sky,17.8868,-77.5902,Junction Guest House
478,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Deyna's City Inn
481,Progreso,MX,86.11,few clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
482,Touros,BR,79.38,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
484,Yei,SS,72.19,broken clouds,4.095,30.6779,New Tokyo
497,Bubaque,GW,81.3,clear sky,11.2833,-15.8333,Chez Julio
