City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Straumen,NO,2022-12-04 21:03:05,63.8709,11.2999,21.2,66,100,3.98
1,Krasnoselkup,RU,2022-12-04 21:03:06,65.7,82.4667,11.8,95,100,13.71
2,Yumen,CN,2022-12-04 21:03:06,40.2833,97.2,12.96,84,86,5.59
3,Itapuranga,BR,2022-12-04 21:03:06,-15.5622,-49.9486,72.77,88,99,2.71
4,Longyearbyen,SJ,2022-12-04 21:03:07,78.2186,15.6401,31.84,93,100,3.44
5,Georgetown,MY,2022-12-04 20:58:11,5.4112,100.3354,81.23,93,20,2.3
6,Barrow,US,2022-12-04 21:03:08,71.2906,-156.7887,21.22,86,100,23.02
7,Leningradskiy,RU,2022-12-04 21:03:08,69.3833,178.4167,6.46,89,100,4.79
8,Torbay,CA,2022-12-04 21:00:12,47.6666,-52.7314,37.27,86,57,8.99
9,Bethel,US,2022-12-04 21:01:40,41.3712,-73.414,42.03,52,100,2.91
10,Hilo,US,2022-12-04 21:00:43,19.7297,-155.09,80.28,95,73,5.01
11,Ushuaia,AR,2022-12-04 21:03:10,-54.8,-68.3,46.71,76,44,10.63
12,Katsuura,JP,2022-12-04 21:03:10,35.1333,140.3,55.76,82,100,19.26
13,Vaini,TO,2022-12-04 21:03:10,-21.2,-175.2,78.24,85,100,18.41
14,Naze,JP,2022-12-04 21:03:11,28.3667,129.4833,68.34,86,84,11.83
15,Hermanus,ZA,2022-12-04 21:03:11,-34.4187,19.2345,54.81,72,64,5.91
16,Butaritari,KI,2022-12-04 21:03:11,3.0707,172.7902,80.37,79,31,12.59
17,Bluff,NZ,2022-12-04 21:03:12,-46.6,168.3333,50.81,67,99,9.93
18,Albany,US,2022-12-04 20:58:56,42.6001,-73.9662,37.02,57,100,3.44
19,Saldanha,ZA,2022-12-04 21:03:12,-33.0117,17.9442,61.61,78,1,17.56
20,Sibolga,ID,2022-12-04 21:03:13,1.7427,98.7792,74.62,91,100,1.95
21,Bredasdorp,ZA,2022-12-04 20:59:09,-34.5322,20.0403,58.8,67,85,4.52
22,Kodiak,US,2022-12-04 21:03:13,57.79,-152.4072,38.71,81,75,5.75
23,Shingu,JP,2022-12-04 21:03:14,33.7333,135.9833,47.01,67,68,5.48
24,Kavieng,PG,2022-12-04 20:59:56,-2.5744,150.7967,79.29,86,100,13.67
25,Busselton,AU,2022-12-04 21:03:14,-33.65,115.3333,59.52,70,100,13.18
26,Tuktoyaktuk,CA,2022-12-04 20:59:02,69.4541,-133.0374,-16.6,83,20,9.22
27,Mataura,NZ,2022-12-04 21:03:15,-46.1927,168.8643,50.49,71,100,3.53
28,Jauja,PE,2022-12-04 21:03:15,-11.7758,-75.4966,63.82,35,28,6.96
29,Klaksvik,FO,2022-12-04 20:59:20,62.2266,-6.589,40.12,76,63,12.82
30,Tefe,BR,2022-12-04 21:03:16,-3.3542,-64.7114,83.84,75,98,2.37
31,Hobart,AU,2022-12-04 21:03:17,-42.8794,147.3294,54.27,95,75,21.85
32,Rikitea,PF,2022-12-04 21:03:17,-23.1203,-134.9692,74.86,83,61,14.81
33,Goundam,ML,2022-12-04 21:03:18,16.4145,-3.6708,84.69,22,71,4.32
34,Benguela,AO,2022-12-04 21:03:18,-12.5763,13.4055,76.86,81,100,2.66
