City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fairfield,US,2022-12-10 17:45:20,41.2668,-73.3162,39.79,52,0,11.5
1,Oblivskaya,RU,2022-12-10 17:49:39,48.5362,42.5014,34.77,92,100,16.44
2,Albany,US,2022-12-10 17:46:01,42.6001,-73.9662,32.58,63,0,3.56
3,San Cristobal,VE,2022-12-10 17:49:39,7.7669,-72.225,75.38,47,60,2.71
4,Pacific Grove,US,2022-12-10 17:49:40,36.6177,-121.9166,59.11,90,100,28.99
5,Clyde River,CA,2022-12-10 17:49:40,70.4692,-68.5914,-18.17,83,0,5.75
6,Mount Gambier,AU,2022-12-10 17:49:41,-37.8333,140.7667,55.0,78,35,1.92
7,Solnechnyy,RU,2022-12-10 17:49:41,50.7214,136.6319,-1.23,95,79,3.6
8,Port-Gentil,GA,2022-12-10 17:49:41,-0.7193,8.7815,78.76,83,75,5.75
9,East London,ZA,2022-12-10 17:49:42,-33.0153,27.9116,72.54,94,100,6.91
10,Punta Arenas,CL,2022-12-10 17:49:16,-53.15,-70.9167,55.51,44,0,14.97
11,Muisne,EC,2022-12-10 17:49:42,0.6,-80.0333,76.62,75,100,9.51
12,Bundaberg,AU,2022-12-10 17:46:29,-24.85,152.35,69.22,92,48,3.0
13,Port Alfred,ZA,2022-12-10 17:49:43,-33.5906,26.891,72.18,93,100,4.29
14,Wuxi,CN,2022-12-10 17:49:43,31.5689,120.2886,42.98,69,71,13.04
15,Dryden,CA,2022-12-10 17:49:44,49.7833,-92.7503,26.89,93,100,12.66
16,Gat,IL,2022-12-10 17:49:44,31.61,34.7642,63.39,61,0,5.39
17,Ishigaki,JP,2022-12-10 17:49:44,24.3448,124.1572,73.53,83,75,19.57
18,San Carlos De Bariloche,AR,2022-12-10 17:49:45,-41.1456,-71.3082,67.24,31,20,21.85
19,Tsaratanana,MG,2022-12-10 17:49:45,-16.7833,47.65,78.04,65,23,7.16
20,Rikitea,PF,2022-12-10 17:49:45,-23.1203,-134.9692,76.05,75,68,16.49
21,Saint-Philippe,RE,2022-12-10 17:49:46,-21.3585,55.7679,74.79,87,42,11.72
22,Ushuaia,AR,2022-12-10 17:49:46,-54.8,-68.3,51.42,54,69,8.21
23,Asau,RO,2022-12-10 17:49:47,46.4333,26.4,43.72,85,86,1.1
24,Severo-Kurilsk,RU,2022-12-10 17:49:47,50.6789,156.125,23.97,63,85,5.17
25,Taoudenni,ML,2022-12-10 17:49:47,22.6783,-3.9836,81.52,12,0,1.34
26,Porto Novo,BJ,2022-12-10 17:49:48,6.4965,2.6036,84.02,71,15,7.63
27,Sibsagar,IN,2022-12-10 17:49:48,26.9833,94.6333,58.75,79,1,2.42
28,Grindavik,IS,2022-12-10 17:49:48,63.8424,-22.4338,25.27,80,0,9.22
29,Hofn,IS,2022-12-10 17:49:49,64.2539,-15.2082,30.2,56,49,9.08
30,Cape Town,ZA,2022-12-10 17:45:00,-33.9258,18.4232,75.61,74,75,14.0
31,Faya,SA,2022-12-10 17:49:49,18.3851,42.4509,59.11,70,13,1.68
32,Big Bend,SZ,2022-12-10 17:49:50,-26.8167,31.9333,86.97,61,1,8.05
33,Muhos,FI,2022-12-10 17:49:51,64.808,25.9931,26.38,90,95,10.04
34,Kapaa,US,2022-12-10 17:49:52,22.0752,-159.319,75.52,84,40,13.8
35,Mar Del Plata,AR,2022-12-10 17:49:53,-38.0023,-57.5575,87.84,55,0,13.8
36,Bethel,US,2022-12-10 17:49:55,41.3712,-73.414,39.65,52,0,6.91
37,Bambanglipuro,ID,2022-12-10 17:49:56,-7.95,110.2833,77.04,87,99,2.57
38,Marawi,PH,2022-12-10 17:49:56,7.9986,124.2928,67.01,92,92,5.01
39,Naze,JP,2022-12-10 17:49:56,28.3667,129.4833,67.12,74,18,13.31
40,Hermanus,ZA,2022-12-10 17:49:57,-34.4187,19.2345,67.8,83,100,19.64
41,Dharchula,IN,2022-12-10 17:49:57,29.85,80.5333,52.02,20,0,8.57
42,Dingle,PH,2022-12-10 17:49:58,10.9995,122.6711,73.49,92,98,2.95
43,Bluff,NZ,2022-12-10 17:49:58,-46.6,168.3333,52.74,91,99,5.1
44,Castro,BR,2022-12-10 17:49:58,-24.7911,-50.0119,83.12,53,38,7.34
45,Fairbanks,US,2022-12-10 17:45:12,64.8378,-147.7164,6.76,82,100,0.0
46,Mataura,NZ,2022-12-10 17:50:59,-46.1927,168.8643,50.18,99,96,0.98
47,Jamestown,US,2022-12-10 17:50:59,42.097,-79.2353,41.02,31,0,9.22
48,Saint-Joseph,RE,2022-12-10 17:51:00,-21.3667,55.6167,73.78,85,35,11.52
49,Puerto Ayora,EC,2022-12-10 17:51:00,-0.7393,-90.3518,84.16,87,97,5.01
50,Kjollefjord,NO,2022-12-10 17:51:00,70.9457,27.3465,23.05,79,100,11.5
51,Diego De Almagro,CL,2022-12-10 17:51:01,-26.3667,-70.05,82.26,28,82,13.6
52,Siyabuswa,ZA,2022-12-10 17:51:01,-25.1132,29.0445,78.93,50,78,1.68
53,La Ronge,CA,2022-12-10 17:51:01,55.1001,-105.2842,5.25,78,100,1.14
54,Upernavik,GL,2022-12-10 17:51:02,72.7868,-56.1549,26.91,96,100,10.74
55,Moose Factory,CA,2022-12-10 17:51:02,51.2585,-80.6094,3.18,72,0,10.36
56,Nemuro,JP,2022-12-10 17:51:03,43.3236,145.575,33.64,63,6,5.12
57,Chokurdakh,RU,2022-12-10 17:51:03,70.6333,147.9167,-19.37,98,100,11.21
58,Erzurum,TR,2022-12-10 17:51:03,40.0,41.5,29.88,70,11,2.59
59,Mehriz,IR,2022-12-10 17:51:04,31.5917,54.4318,41.5,54,74,4.32
60,Yellowknife,CA,2022-12-10 17:48:50,62.456,-114.3525,-1.68,78,100,5.75
61,Atuona,PF,2022-12-10 17:51:04,-9.8,-139.0333,76.5,78,37,12.97
62,Kirkwall,GB,2022-12-10 17:51:05,58.9848,-2.9587,41.05,70,75,14.97
63,Bredasdorp,ZA,2022-12-10 17:51:05,-34.5322,20.0403,66.78,85,99,17.63
64,Butaritari,KI,2022-12-10 17:51:06,3.0707,172.7902,81.59,75,27,17.34
65,Carnarvon,AU,2022-12-10 17:51:06,-24.8667,113.6333,69.69,69,1,24.02
66,Manaure,CO,2022-12-10 17:51:07,11.7751,-72.4445,81.07,66,44,15.46
67,Dumas,US,2022-12-10 17:51:07,35.8656,-101.9732,47.61,31,0,14.97
68,Waingapu,ID,2022-12-10 17:51:07,-9.6567,120.2641,79.27,79,100,5.12
69,Longyearbyen,SJ,2022-12-10 17:51:08,78.2186,15.6401,21.04,86,75,4.61
70,Sur,OM,2022-12-10 17:51:08,22.5667,59.5289,76.17,66,4,8.88
71,Saint George,US,2022-12-10 17:51:08,37.1041,-113.5841,34.39,75,0,0.0
72,Ballina,AU,2022-12-10 17:51:09,-28.8667,153.5667,64.02,97,93,8.86
73,Ribeira Grande,PT,2022-12-10 17:51:09,38.5167,-28.7,66.78,82,75,28.01
74,Atasu,KZ,2022-12-10 17:51:10,48.6814,71.6433,-11.96,100,42,3.22
75,Talnakh,RU,2022-12-10 17:51:10,69.4865,88.3972,-25.74,93,67,2.44
76,Limerick,IE,2022-12-10 17:51:10,52.6647,-8.6231,35.08,92,27,2.84
77,Vaini,TO,2022-12-10 17:51:11,-21.2,-175.2,73.56,100,75,3.44
78,Ponta Do Sol,PT,2022-12-10 17:51:11,32.6667,-17.1,74.01,92,100,8.23
79,Tottori,JP,2022-12-10 17:50:09,35.5,134.2333,51.31,73,100,5.88
80,Pekan,MY,2022-12-10 17:51:12,3.4836,103.3996,76.96,93,100,5.37
81,Marienburg,PL,2022-12-10 17:51:12,54.0359,19.0266,32.85,83,83,3.69
82,Bathsheba,BB,2022-12-10 17:51:13,13.2167,-59.5167,83.05,70,75,9.22
83,Dudinka,RU,2022-12-10 17:51:13,69.4058,86.1778,-28.75,100,40,3.27
84,Nantucket,US,2022-12-10 17:51:13,41.2835,-70.0995,44.71,86,100,17.27
85,Avarua,CK,2022-12-10 17:51:14,-21.2078,-159.775,75.25,78,75,9.22
86,Alice Springs,AU,2022-12-10 17:47:32,-23.7,133.8833,88.21,40,91,3.0
87,Vzmorye,RU,2022-12-10 17:51:14,54.6961,20.2361,23.09,80,98,3.29
88,Raduzhnyy,RU,2022-12-10 17:51:15,62.0961,77.475,-20.74,100,77,3.91
89,San Patricio,US,2022-12-10 17:51:15,28.017,-97.5169,80.69,63,31,16.26
90,Lebu,CL,2022-12-10 17:52:15,-37.6167,-73.65,64.85,64,0,14.7
91,Lubango,AO,2022-12-10 17:52:16,-14.9172,13.4925,63.73,50,17,6.71
92,Poum,NC,2022-12-10 17:52:16,-20.2333,164.0167,79.99,80,83,9.6
93,Makakilo City,US,2022-12-10 17:52:17,21.3469,-158.0858,73.72,67,0,17.27
94,Pevek,RU,2022-12-10 17:52:17,69.7008,170.3133,-11.36,94,100,13.53
95,Muros,ES,2022-12-10 17:52:17,42.7762,-9.0603,49.08,85,100,3.58
